kyrBP;co2(ppm);co2Uncertainty(1sd, ppm)
1000;283,2325031;11,11631574
2000;278,0458112;3,336202959
3000;275,4241056;3,449038465
4000;272,8180045;3,464890745
5000;269,1344717;3,633113033
6000;264,3329256;3,903912217
7000;260,7620629;3,629070438
8000;259,9483117;3,178291078
9000;261,4238921;3,507055335
10000;264,0636036;3,436266094
11000;264,333924;5,397368461
12000;253,7131204;7,779258727
13000;241,7050892;5,285290857
14000;237,9271011;4,886439834
15000;231,2741784;6,021096541
16000;220,3501512;6,768077555
17000;202,404668;10,09502317
18000;189,9793894;4,155370545
19000;190,1074283;3,746004605
20000;192,169303;3,779483737
21000;189,7931901;3,80758312
22000;188,0875268;3,653825136
23000;189,2418773;4,43525526
24000;186,4899324;4,83951603
25000;182,3195471;3,605590076
26000;184,8476733;3,351007652
27000;188,7631325;4,245863342
28000;190,63145;3,417898627
29000;191,6845971;3,495782238
30000;189,0434391;3,897953942
31000;188,1951137;4,056205921
32000;193,9327499;3,653383344
33000;196,3005445;3,423456545
34000;196,5437869;3,560672759
35000;201,022959;3,993110393
36000;201,9041835;3,564295891
37000;206,6676677;4,781729208
38000;209,8705759;4,273770569
39000;205,0445293;5,493211409
40000;197,8397251;5,900512528
41000;200,8908814;4,167240725
42000;202,3113073;3,727471106
43000;203,755657;3,426105951
44000;204,3948076;4,167272332
45000;210,885274;5,277817181
46000;217,9821513;4,843447478
47000;211,4478347;5,639234632
48000;204,9041342;3,86832452
49000;202,3093056;3,565475892
50000;204,8010855;3,612155261
51000;209,0480693;4,142584101
52000;216,0019123;4,660817373
53000;221,5066284;3,732808512
54000;219,8526536;4,050846029
55000;214,2065216;4,802711849
56000;210,8704457;4,105544473
57000;215,1594171;4,948971966
58000;222,3265238;4,409870652
59000;226,7309836;4,833913472
60000;218,7183419;6,126756273
61000;211,8669255;4,455142055
62000;206,7026764;4,614610533
63000;200,8946613;3,722475532
64000;199,1342938;3,692468062
65000;201,9515994;4,434429289
66000;202,3906083;4,915130214
67000;204,1776505;4,017329892
68000;202,2654138;3,559838218
69000;205,8512091;4,719978423
70000;215,6998871;5,798012552
71000;228,5811725;7,556329264
72000;236,3131163;4,447222891
73000;232,4122333;3,551194986
74000;234,0775942;5,086510189
75000;243,2147783;5,97282154
76000;244,6721279;6,365688555
77000;233,5884789;6,213087788
78000;225,9935395;3,62478517
79000;227,5725159;3,979360394
80000;232,1609449;3,864355896
81000;232,3623551;3,678037404
82000;237,3381995;4,793152884
83000;244,8169069;4,45494182
84000;246,8458913;4,812121918
85000;237,7639667;5,326340067
86000;228,4564452;5,400477078
87000;222,3637205;3,485816414
88000;220,9215568;4,224204262
89000;225,5928394;4,216156202
90000;229,2298811;3,219592211
91000;231,2283741;3,13924075
92000;232,779714;3,207994069
93000;234,251637;3,577600934
94000;238,527604;4,014058999
95000;242,8745184;3,258180588
96000;245,5452396;3,21846479
97000;243,4445242;3,58585491
98000;241,1707004;3,365831149
99000;243,059311;3,131748864
100000;245,4469701;3,533821562
101000;245,0946121;3,992305951
102000;240,9899198;4,284193696
103000;239,6988748;4,092365672
104000;242,5621381;5,056902624
105000;245,3672633;6,078446438
106000;247,1910545;7,018926683
107000;243,7588004;6,340062997
108000;239,1865575;4,688533311
109000;241,9663304;4,778047822
110000;244,943137;3,708959632
111000;249,9415128;6,442078298
112000;258,7113084;4,852525117
113000;261,7021436;4,617849925
114000;265,9655061;6,18642083
115000;273,180718;5,253381846
116000;274,3468087;3,447501234
117000;274,1924296;3,130253175
118000;274,8852767;3,945057004
119000;272,880401;5,256713214
120000;272,6160423;4,942562108
121000;276,372648;4,628575811
122000;278,1681049;3,286914043
123000;277,7054035;3,572261714
124000;277,1790771;4,000521835
125000;277,0228076;3,827002927
126000;275,2722975;3,371208375
127000;275,6035243;3,766759821
128000;277,3401774;5,736758468
129000;272,3433744;9,236541114
130000;259,6922141;12,63249704
131000;247,4633172;14,66946525
132000;236,157611;12,40789923
133000;227,9801152;9,704403489
134000;222,0028201;8,479075198
135000;215,5419483;9,01155242
136000;207,0976499;8,063587633
137000;201,8258751;5,1948687
138000;199,2807666;4,290637295
139000;197,2089469;4,323589779
140000;195,4721144;4,19165792
141000;194,9863649;3,73893169
142000;195,5866783;3,310535696
143000;195,5507957;3,158937203
144000;195,3005323;3,142715856
145000;195,0153404;3,188074926
146000;194,6733495;3,263510213
147000;195,2409682;3,689764552
148000;197,3339463;4,32620579
149000;199,6553851;4,310232124
150000;201,3695734;3,692447896
151000;202,0464086;3,231616092
152000;201,5642812;3,432354871
153000;199,4584721;3,856648308
154000;197,3536828;4,053117393
155000;195,2345411;4,689008847
156000;192,5711966;4,824174741
157000;190,1218653;4,095008019
158000;188,3691499;3,496183381
159000;187,4732319;3,373149671
160000;187,0756493;3,375184746
161000;187,5820382;4,584529461
162000;194,031564;8,422111988
163000;200,1579689;5,868908995
164000;199,3730027;5,623434441
165000;196,2053699;6,144360563
166000;192,0618364;5,286643883
167000;189,4656976;4,537507762
168000;188,4430453;5,162307396
169000;189,3664443;6,299203554
170000;191,9718398;6,740640763
171000;195,5494828;5,444961175
172000;197,4242794;3,542385668
173000;197,620853;3,097972121
174000;197,0381183;3,425072111
175000;195,4956764;4,165299503
176000;193,1395364;4,493467731
177000;191,4729434;4,417062794
178000;192,0986919;6,319970122
179000;198,1040165;9,949877405
180000;207,3522544;8,503127752
181000;211,4568299;6,551577757
182000;210,6508366;8,272091266
183000;206,3337988;9,314787295
184000;202,1767372;7,345536945
185000;201,139996;4,83227116
186000;202,9403144;4,564661163
187000;206,5614774;6,848257328
188000;212,9444066;10,02033455
189000;220,4956358;11,03562375
190000;226,054209;8,830584671
191000;226,4969284;6,979029183
192000;223,8481047;6,607635868
193000;221,5326345;5,674087395
194000;221,7952492;5,060246929
195000;223,2059978;4,977487077
196000;224,7725591;6,508902041
197000;229,6042018;8,955206771
198000;235,173983;8,733015158
199000;238,8409271;7,427173407
200000;242,615465;6,755662778
201000;246,2812901;6,249061868
202000;245,6379851;6,307068184
203000;244,0154548;6,415272296
204000;241,1484411;7,601304402
205000;236,461797;7,993904692
206000;233,0141446;6,706766797
207000;232,3818848;5,884014748
208000;234,6334993;6,410365267
209000;238,4615482;6,930954766
210000;242,6303677;6,735399422
211000;245,7782031;6,287107354
212000;247,2637269;6,673206253
213000;247,5690471;6,981281944
214000;246,5204828;6,483035526
215000;244,7445222;5,592204492
216000;244,8673813;5,250398659
217000;246,3588661;5,286135573
218000;246,5066752;6,145236157
219000;242,4575078;10,76620609
220000;229,4685462;15,52985693
221000;216,6656048;10,56014889
222000;211,8308443;6,160081086
223000;209,3345275;4,827988323
224000;207,6515078;4,490681885
225000;208,1206096;7,423685282
226000;213,4919527;12,11580156
227000;221,4826482;13,35239024
228000;228,0563013;10,55022581
229000;230,3739557;7,104816972
230000;230,524589;5,683774462
231000;232,4365861;5,519226006
232000;235,2872207;5,37393903
233000;237,5665492;5,353466263
234000;241,1364377;6,052000818
235000;245,6850544;5,389367315
236000;246,0824888;5,082984184
237000;245,2903156;5,02431877
238000;244,7753558;4,925368522
239000;245,9839945;5,700985104
240000;249,8150583;8,053565775
241000;257,409832;10,97601257
242000;265,8713783;11,39730501
243000;267,604856;12,4888581
244000;259,8845271;15,5073181
245000;248,6422444;15,72478126
246000;238,4737597;14,37947326
247000;229,8133133;12,29470868
248000;221,6361977;9,555724039
249000;214,9398134;7,044278305
250000;209,3998257;7,930395548
251000;205,3104922;8,172117213
252000;203,2483236;8,459784959
253000;200,4650348;7,986375853
254000;197,8822434;6,031244344
255000;197,5051079;4,379290868
256000;199,4472908;4,114704672
257000;201,3744397;3,824637841
258000;202,814182;3,623932782
259000;204,4200834;3,794262773
260000;206,4347214;4,104457171
261000;208,1137138;4,309840679
262000;209,9150266;5,300196008
263000;213,3785421;7,614537629
264000;217,8789671;10,18528326
265000;215,5109244;12,9494811
266000;208,2111028;12,38796731
267000;201,9798868;11,4473306
268000;195,6218544;10,47651163
269000;192,151024;7,43850257
270000;192,6002599;5,998757622
271000;192,804065;6,376181622
272000;191,033819;6,362956805
273000;190,6760917;5,280276887
274000;192,3946144;4,464809987
275000;194,3421356;4,003405056
276000;195,7057855;4,038945013
277000;196,7732171;4,774383498
278000;199,2394258;5,93335861
279000;203,4082775;6,447388325
280000;208,0214365;6,622831037
281000;212,6759981;6,899163947
282000;217,5897056;7,169139352
283000;223,0628201;7,003725615
284000;227,7767543;5,387592308
285000;228,9639911;3,888153996
286000;228,8262127;3,629119445
287000;229,4045481;3,650535633
288000;230,1780116;3,795125879
289000;230,0219927;5,452140854
290000;226,9388367;8,258820351
291000;221,7878674;9,343199393
292000;215,4351452;8,950273457
293000;209,9222906;6,481881559
294000;208,2603716;4,478542217
295000;209,3781168;4,380405802
296000;211,5310759;4,353098736
297000;214,3755829;5,124941318
298000;218,9599;6,760268314
299000;223,7653836;7,461513217
300000;228,4774958;7,564041819
301000;233,2095243;6,509050147
302000;236,4908754;4,689964
303000;238,2054493;4,163242327
304000;240,3882717;5,104809507
305000;243,4133272;5,829739135
306000;245,076801;6,51543437
307000;242,6472585;9,156232362
308000;236,1295243;10,46505777
309000;230,7059035;7,827000986
310000;230,2441337;5,868140318
311000;233,3740376;6,238236987
312000;238,063794;6,691721853
313000;243,2645692;7,613393444
314000;248,7415053;8,005113866
315000;253,1957153;7,750008194
316000;255,7204685;9,240869377
317000;256,2915312;11,1406059
318000;253,0148145;12,10926684
319000;247,2049625;11,27490933
320000;245,3194734;10,14358741
321000;248,3900454;9,223898971
322000;252,2511895;7,189957957
323000;256,1582009;5,618829736
324000;258,9991674;4,299689829
325000;260,802045;3,945341046
326000;262,7004447;4,203347564
327000;264,8888758;4,375151416
328000;267,2841432;4,647021384
329000;269,6415706;4,729736231
330000;270,8342661;4,769192305
331000;270,7602537;5,315639629
332000;272,678363;6,950606637
333000;277,6160162;8,876851192
334000;282,7744667;9,181918674
335000;285,1386334;8,893966703
336000;282,5791595;10,47593364
337000;274,7897196;13,87953941
338000;263,1228573;16,2935619
339000;250,6230279;14,53668691
340000;242,0645149;9,838120057
341000;238,7909027;8,922693858
342000;236,5256543;16,82719788
343000;226,8091582;23,41569134
344000;214,4093946;20,58479521
345000;207,2977469;12,31467495
346000;206,4687298;6,352740186
347000;209,0482573;5,827556569
348000;213,1678531;6,359618353
349000;217,1795955;5,567772672
350000;219,6103969;4,086072243
351000;220,0552526;3,690697082
352000;218,533491;4,541417135
353000;215,6812546;5,205054559
354000;212,5868201;4,942311974
355000;210,4219989;4,06523797
356000;209,1122002;4,193552863
357000;205,0790527;7,820459221
358000;195,6443483;7,561381051
359000;191,4804728;4,905280874
360000;189,0603632;4,601670238
361000;187,0531003;3,917236199
362000;186,3500944;3,742810638
363000;187,9943647;6,109159268
364000;194,2741198;8,237001734
365000;199,759248;5,666658654
366000;202,0562131;4,112343054
367000;204,6775517;3,859435044
368000;205,9675307;3,246648747
369000;205,6199638;3,400226886
370000;203,3379399;3,670764656
371000;201,8911611;3,225611206
372000;201,4571129;3,616217497
373000;202,1618371;5,57941056
374000;205,9748131;8,124397482
375000;212,228964;8,596398752
376000;218,518175;7,515848826
377000;223,5652583;5,92974537
378000;226,7891833;4,564268612
379000;228,5346092;3,715546498
380000;229,1245054;3,295770725
381000;228,253065;3,729247633
382000;228,5084022;5,061265326
383000;230,9209496;6,664931845
384000;234,9164445;6,976542167
385000;238,3650118;5,332339343
386000;240,4547018;4,504754239
387000;242,8311841;4,82767831
388000;245,0535728;4,209975101
389000;246,0613002;3,654711463
390000;247,8604075;5,546457983
391000;254,7001985;7,464497427
392000;259,867996;6,365407825
393000;262,643942;7,047192801
394000;264,7424415;7,353165118
395000;265,1094138;7,080904439
396000;265,6969301;7,444788784
397000;272,4900897;7,370678867
398000;276,4572218;4,150426492
399000;277,9083324;4,009190883
400000;279,5342879;4,34464957
401000;280,6087758;4,387183695
402000;280,1581492;4,601221314
403000;278,7841987;4,492397396
404000;278,2350702;4,003141155
405000;279,0947605;3,936731626
406000;280,737683;4,187278101
407000;282,2339092;4,39353759
408000;282,356246;4,886140351
409000;281,1403711;5,320835544
410000;280,7030674;5,105756666
411000;281,0179058;4,95173679
412000;279,0411681;6,416682547
413000;273,7997437;7,002235958
414000;271,0422454;5,777936484
415000;271,4899417;5,050111573
416000;272,6792761;4,253562148
417000;273,1120791;3,590689087
418000;273,1625344;3,319854013
419000;273,0763463;3,311022793
420000;272,5293654;3,558130721
421000;271,2003393;3,997106893
422000;269,5289267;3,95745331
423000;268,7629018;3,612002904
424000;268,5976013;3,631889554
425000;267,9954797;4,704847183
426000;265,8472185;6,901859374
427000;261,1098677;9,091722061
428000;254,1837849;9,683289404
429000;247,0790838;10,24907879
430000;237,9186019;13,03608063
431000;227,5587874;11,11687922
432000;222,2334228;8,325022312
433000;216,816022;8,738199212
434000;211,8307149;6,703683855
435000;209,743298;4,359422806
436000;208,9295487;3,569513073
437000;207,5372291;4,117881712
438000;204,9772619;4,79606569
439000;202,4437634;4,306760724
440000;201,4402557;3,409313253
441000;201,4249017;3,07448997
442000;201,4795492;3,028389726
443000;201,4542793;3,090886563
444000;201,057083;3,249009621
445000;200,3736059;3,303897415
446000;200,411651;3,346578377
447000;201,6381635;3,624438243
448000;203,266096;3,932743134
449000;204,4720805;4,097702969
450000;204,2223013;4,21253223
451000;203,1094066;3,944373089
452000;202,6892164;3,618412582
453000;202,3475656;3,807380188
454000;200,6669338;4,469019161
455000;197,8967958;4,828264307
456000;196,2940825;4,96352617
457000;197,8690568;5,873612532
458000;200,8553289;5,935092044
459000;202,8744611;5,273320011
460000;202,2689974;5,58816455
461000;198,612624;6,244195612
462000;195,1307345;5,381097105
463000;195,451332;5,700918369
464000;199,4709237;6,810630986
465000;203,6213049;6,215407976
466000;205,9643888;4,928007882
467000;206,2419923;4,045810005
468000;205,3221194;3,799409111
469000;205,8914562;5,089500584
470000;209,6227967;8,240321192
471000;216,3166225;11,46254389
472000;225,3760435;13,01717253
473000;234,174658;11,44788543
474000;239,393869;8,119654621
475000;239,7499714;6,265693286
476000;236,8654225;5,593986596
477000;235,1786162;4,517525604
478000;234,8606404;5,367108484
479000;232,6477423;7,429748075
480000;228,67095;8,245968859
481000;225,1365062;6,971190903
482000;224,3498491;5,147988876
483000;226,4265243;4,766370599
484000;229,1017764;4,371672021
485000;230,9539606;3,648122952
486000;232,0532032;3,452327432
487000;233,4006663;4,462453464
488000;236,5671805;6,497173946
489000;241,1491859;7,175060001
490000;244,2745352;6,235855554
491000;245,1735843;5,170360428
492000;244,4463776;4,520592109
493000;242,5602558;4,373845394
494000;240,3811993;3,98258398
495000;238,8553304;3,421125118
496000;237,8427521;3,272642883
497000;236,686836;3,52370663
498000;234,9594115;3,952517714
499000;232,8124691;4,024355926
500000;231,0516205;3,639130319
501000;230,3231091;3,341375455
502000;230,6591089;3,287256538
503000;231,5413131;3,261347724
504000;232,5377216;3,265898923
505000;233,5846451;3,294572147
506000;234,7083258;3,334470904
507000;235,910109;3,376903002
508000;236,9704998;3,410888513
509000;237,4436341;3,634513345
510000;237,0073485;3,974467049
511000;236,4124352;3,996370964
512000;236,9431533;4,113146691
513000;238,3075819;4,126167532
514000;239,4435452;3,820060755
515000;240,6850515;3,885889739
516000;242,6492606;4,142591129
517000;244,612794;3,872782768
518000;245,6507746;3,375654794
519000;245,9292321;3,198323547
520000;245,8667295;3,269738746
521000;245,3400729;3,420626426
522000;244,0262821;3,81033259
523000;241,170874;4,439163236
524000;238,4323957;4,478369595
525000;236,1280504;4,541494735
526000;233,4319907;4,757981093
527000;230,2874637;4,914543343
528000;227,0870392;4,729848218
529000;224,2590823;4,273727777
530000;221,8811645;4,156330928
531000;219,1215668;5,527850542
532000;214,8244465;7,78421661
533000;209,0044012;9,257014728
534000;202,5462338;8,949112655
535000;197,7278321;6,911684032
536000;196,4842026;5,514002911
537000;198,5308695;5,579291765
538000;202,2620896;5,427985813
539000;205,8329667;5,059498979
540000;208,6878872;4,735121533
541000;209,8512285;4,408129733
542000;208,5543071;4,635798672
543000;206,5502978;4,325647264
544000;206,3091924;4,002902903
545000;207,7537999;3,914291273
546000;209,0041576;3,504526219
547000;208,9449914;3,597876679
548000;207,7637366;4,237052143
549000;207,3678354;5,085560546
550000;209,5296634;6,345618762
551000;214,0191022;7,063859566
552000;218,9750394;6,034850904
553000;221,7363025;4,530537256
554000;223,3184905;4,810585809
555000;227,1596195;7,97372863
556000;234,820362;9,911085856
557000;240,5185232;8,207666135
558000;241,3708948;7,19390414
559000;238,1097141;7,601919521
560000;233,7330417;6,363944396
561000;232,2813009;4,909589603
562000;234,554945;5,918050479
563000;239,0960365;7,021842206
564000;244,3425169;6,829772213
565000;248,8493479;5,604118956
566000;251,741554;4,213415428
567000;253,0070751;3,411725567
568000;253,0283726;3,277476326
569000;252,2583689;3,343638963
570000;251,406728;3,291027255
571000;250,7498827;3,347030941
572000;249,9996375;3,507543968
573000;249,5265161;3,539969715
574000;249,9545283;3,547581628
575000;250,8118116;3,462087899
576000;251,3489326;3,34132278
577000;251,3755945;3,368959649
578000;250,566483;4,367879232
579000;247,8495203;7,362947274
580000;242,1248361;10,90617883
581000;233,7689715;13,09535355
582000;224,1602332;12,77840012
583000;216,1228492;9,884972597
584000;212,044256;6,872829321
585000;214,5925727;8,672593061
586000;224,9638137;9,257327531
587000;231,2313233;8,770074764
588000;236,8961476;9,319264935
589000;242,0930893;8,017403637
590000;243,5696305;6,925984244
591000;240,093034;8,349014824
592000;234,2702339;7,925320911
593000;232,4435042;6,034231038
594000;233,3239754;5,953800496
595000;231,6722472;7,8494092
596000;226,3217218;9,080628588
597000;221,3113299;7,284262257
598000;220,5187641;5,847040571
599000;223,3002021;6,177886592
600000;227,1829568;5,952598465
601000;231,2680688;5,410943217
602000;234,9879692;4,820105127
603000;237,8184401;4,312703233
604000;240,3507747;4,48200859
605000;243,3550668;4,908642997
606000;246,7596237;5,152682485
607000;250,4846322;5,43500667
608000;254,2566773;5,151606788
609000;257,0009009;4,149613915
610000;258,1466819;3,353951801
611000;258,3861243;3,156522687
612000;258,2559575;3,20162079
613000;257,4546313;3,471189377
614000;255,6886551;3,757964881
615000;253,8805336;3,509418008
616000;252,9736659;3,191896953
617000;252,3957385;3,301096612
618000;251,0736592;3,831469524
619000;248,7804171;4,064289326
620000;246,5024682;3,862938545
621000;244,4551276;3,813552908
622000;242,6839234;3,927547274
623000;241,0415409;4,384721453
624000;238,2980655;5,761125091
625000;233,5254968;8,166017461
626000;226,755959;10,9038099
627000;217,8368742;12,03793741
628000;208,7698775;9,806655315
629000;203,6224166;6,037444457
630000;201,9871573;4,316255175
631000;200,6565203;4,16514208
632000;198,5446305;4,227033133
633000;196,2393971;3,988927121
634000;194,9343139;3,443356857
635000;194,753735;3,212523279
636000;194,7008476;3,159101698
637000;194,414239;3,360364725
638000;193,2417288;4,034218366
639000;191,1389697;4,059273439
640000;190,1641501;3,423506038
641000;190,5612067;3,2124629
642000;191,4444835;3,260690671
643000;192,5463266;3,524418214
644000;193,8428809;3,65829244
645000;193,970861;3,824714317
646000;192,7968143;3,943889398
647000;192,2175139;3,684629548
648000;192,9444335;3,689626017
649000;193,2926639;3,903818929
650000;192,3344826;4,233464916
651000;190,7519211;4,330800402
652000;189,6141997;4,312071687
653000;190,4315493;4,79857676
654000;193,2872064;5,269993068
655000;196,0762278;5,029016941
656000;195,9183943;5,446450773
657000;192,8340641;5,852456099
658000;189,6373603;5,161246794
659000;187,9838854;4,363354697
660000;188,6302995;4,316672723
661000;190,3686244;4,128257751
662000;191,2441541;3,751289338
663000;190,888488;4,12693476
664000;189,1262856;5,462986108
665000;185,5814185;6,806233336
666000;180,8797401;6,679779656
667000;177,7290231;5,296496141
668000;178,6762333;5,868669153
669000;183,1473571;7,358280851
670000;188,7044526;7,180746874
671000;193,0489531;5,661427663
672000;196,0053452;4,948215447
673000;199,5485338;6,285647566
674000;204,8430113;7,800568711
675000;210,7811335;8,014737252
676000;216,0570483;6,699831689
677000;219,0776041;5,220557871
678000;221,3977785;6,137342142
679000;225,2830347;7,134079804
680000;228,446114;6,242557473
681000;228,1109289;5,809462739
682000;225,1263098;5,710663524
683000;222,8382005;4,570572579
684000;222,5351127;3,815102081
685000;222,5687083;3,573778616
686000;222,6048304;3,613934248
687000;223,7963955;4,182695411
688000;226,3861029;4,874743949
689000;229,8081258;5,278125587
690000;233,4852746;5,311289367
691000;236,7705473;4,858681118
692000;239,0012079;4,172588339
693000;239,8553583;3,759375989
694000;239,7329571;3,575753143
695000;239,2278612;3,391872308
696000;238,8854216;3,251636075
697000;239,1314834;3,252415266
698000;239,5706456;3,312075391
699000;239,2242317;3,56449837
700000;237,717208;4,03795372
701000;235,4734798;4,266983444
702000;233,4635776;3,887469508
703000;232,7010274;3,432577139
704000;233,2897719;3,460948244
705000;234,5704595;3,580317098
706000;235,6089851;3,528003337
707000;235,6008886;3,640576207
708000;234,4406961;3,95821446
709000;232,428184;4,431623506
710000;229,621911;4,795814737
711000;226,8747777;4,335222322
712000;225,314268;3,600348338
713000;225,0731638;3,572233077
714000;224,9154463;4,878353593
715000;222,3565129;8,121681219
716000;215,9628301;11,65147948
717000;207,0677934;12,5655706
718000;200,5857542;10,32825108
719000;201,8439222;10,16017623
720000;208,7190952;10,25394719
721000;214,4102607;7,295182497
722000;215,8193168;4,793849262
723000;214,5265135;4,129520346
724000;212,9659184;3,661896378
725000;211,9258259;3,330431299
726000;211,3342707;3,142494334
727000;210,9346937;3,076098811
728000;210,6509864;3,064818521
729000;210,6785029;3,09102148
730000;210,8589477;3,154043297
731000;210,9963791;3,307862755
732000;210,9331498;3,655911884
733000;211,0489886;4,189683585
734000;212,366507;4,694407941
735000;213,9483886;4,77958923
736000;213,1686748;6,189972709
737000;208,5516813;9,211254217
738000;200,462455;11,19749453
739000;191,8625074;9,596674461
740000;186,9994656;5,902776286
741000;186,1871523;4,013400445
742000;187,0912814;3,633165088
743000;187,8689381;3,303823792
744000;188,1911684;3,132088786
745000;188,3355195;3,146919539
746000;188,4548502;3,20840032
747000;188,4352608;3,196189679
748000;188,445498;3,195949531
749000;189,073882;3,372345812
750000;190,4409578;3,625760902
751000;192,2148538;3,992547205
752000;194,4870429;4,586719797
753000;197,1161781;5,022315441
754000;199,6415111;5,14555082
755000;202,3544792;5,452770857
756000;205,9755039;6,194034983
757000;210,7896536;7,071013373
758000;216,7152712;7,339600475
759000;221,4774434;5,885605379
760000;223,0801209;4,704081282
761000;221,8223279;5,188016503
762000;219,0369517;5,381962106
763000;218,4579376;5,541019777
764000;222,0368898;6,742585793
765000;226,2936923;6,335818663
766000;228,4410837;5,305922792
767000;228,0780814;4,916575764
768000;226,099464;4,673841786
769000;225,8787345;5,010595955
770000;229,3864255;6,659133017
771000;234,5374303;7,244760659
772000;238,7256514;6,631812919
773000;240,9846961;5,528137161
774000;241,3730923;4,772810798
775000;241,7397825;4,714089369
776000;244,1132222;5,196886309
777000;247,4476732;5,182990156
778000;250,6254474;4,834355862
779000;252,9280986;4,106299104
780000;253,9435609;3,590630564
781000;254,35435;3,709867456
782000;255,0079072;3,980167798
783000;256,2017273;4,162893428
784000;257,8727842;4,288509005
785000;259,7104383;4,584015885
786000;261,7269065;5,151375954
787000;262,3980558;6,866958863
788000;258,5269174;10,96880598
789000;249,5843383;14,04023121
790000;238,9904221;13,06378972
791000;230,3050314;10,17059028
792000;223,3135763;8,532819446
793000;217,9819952;7,047700894
794000;213,9809699;6,5558292
795000;209,2557424;7,01918888
796000;204,2444086;6,423954662
797000;200,8146991;4,920668011
798000;199,5895997;3,708426803
799000;199,620448;3,272006435
800000;199,4462183;3,188922185
801000;199,386654;3,481310125
802000;200,7505923;4,185578832
803000;202,5350006;4,310340771
804000;203,6901819;4,045657457
805000;204,3633739;3,850024805
